info: 🎈Server express listening on port 8080
info: 🎈Server express listening on port 8080
info: 🎈Server express listening on port 8080
[2023-10-02T20:15:38.236Z] info 🎈Server express listening on port 8080

[2023-10-02T20:53:17.798Z] [34minfo[39m 🎈Server express listening on port 8080
[2023-10-02T20:59:24.657Z] [34minfo[39m 🎈Server express listening on port 8080
[2023-10-02T21:05:51.543Z] undefined 🎈Server express listening on port 8080
[2023-10-02T21:06:21.928Z] undefined 🎈Server express listening on port 8080
[2023-10-02T21:06:37.409Z] undefined 🎈Server express listening on port 8080
[2023-10-02T21:06:49.695Z] [34minfo[39m 🎈Server express listening on port 8080
[2023-10-02T21:07:16.142Z] [34minfo[39m 🎈Server express listening on port 8080
[2023-10-02T21:07:42.009Z] info 🎈Server express listening on port 8080
[2023-10-02T21:08:10.073Z] undefined 🎈Server express listening on port 8080
[2023-10-02T21:08:41.255Z] info 🎈Server express listening on port 8080
